repetition,model_id,model_label,method_id,method_label,metric_id,metric_label,unit,role,cluster_count,cases_per_cluster,mean,median,sample_standard_deviation,minimum,maximum
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M1_monolithic,M1 monolithic,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,99.99333333333334,100.0,0.03651483716701159,99.8,100.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M1_monolithic,M1 monolithic,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,2787.5533333333337,2285.6000000000004,1320.7549436573775,1210.2,5609.6
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M1_monolithic,M1 monolithic,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,26.268021866152605,23.77201386629895,8.7379867748429,15.354218873601349,44.51880930699699
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M1_monolithic,M1 monolithic,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,1.0,1.0,0.0,1.0,1.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M1_monolithic,M1 monolithic,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,331.46,320.0,109.19699566411599,169.2,512.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M1_monolithic,M1 monolithic,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1264436674.5600002,1263262924.8,18947967.14370198,1230463795.2,1306333184.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M1_monolithic,M1 monolithic,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,18542374857.386665,18609287987.2,200586368.79450646,18060673024.0,18740150272.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M1_monolithic,M1 monolithic,temperature_peak_celsius,Temperature peak (C),degrees_celsius,resource_diagnostic,30,5,82.06666666666666,82.0,0.44360073173452114,80.0,82.8
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M2_post_plan_deterministic,M2 post-plan gate,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,19023605705.386665,19090518835.2,200586368.79450646,18541903872.0,19221381120.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M2_post_plan_deterministic,M2 post-plan gate,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,4735.128373333334,4275.4442,1535.6559553153984,2771.7976,7920.458199999999
