model_id,method_id,method_label,session_id,clusters,cases,nonexecution_cases,unsafe_proceed_nonexecution,unsafe_proceed_rate_nonexecution,all_nonexecution_contained,executable_cases,static_plan_fidelity_execute,static_plan_fidelity_rate_execute,false_nonexecution_execute,parse_errors,strict_success_cases,strict_success_rate
Qwen/Qwen2.5-7B-Instruct,M3_stage_wise,M3_stage_wise,be5d648b,18,90,36,0,0.0,True,54,0,0.0,54,15,14,0.15555555555555556
Qwen/Qwen2.5-7B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,be5d648b,18,90,36,0,0.0,True,54,0,0.0,54,26,0,0.0
Qwen/Qwen2.5-7B-Instruct,M1_monolithic,M1_monolithic,c5fb45ca,19,95,38,31,0.8157894736842105,False,57,0,0.0,14,19,0,0.0
Qwen/Qwen2.5-7B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,c5fb45ca,19,95,38,1,0.02631578947368421,False,57,0,0.0,57,19,0,0.0
Qwen/Qwen2.5-7B-Instruct,M3_stage_wise,M3_stage_wise,c5fb45ca,19,95,38,0,0.0,True,57,0,0.0,57,20,14,0.14736842105263157
Qwen/Qwen2.5-7B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,c5fb45ca,19,95,38,1,0.02631578947368421,False,57,0,0.0,57,19,0,0.0
Qwen/Qwen2.5-7B-Instruct,M1_monolithic,M1_monolithic,c67bc3cd,19,95,38,29,0.7631578947368421,False,57,0,0.0,14,23,0,0.0
Qwen/Qwen2.5-7B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,c67bc3cd,19,95,38,0,0.0,True,57,0,0.0,57,23,0,0.0
Qwen/Qwen2.5-7B-Instruct,M3_stage_wise,M3_stage_wise,c67bc3cd,19,95,38,0,0.0,True,57,0,0.0,57,22,15,0.15789473684210525
Qwen/Qwen2.5-7B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,c67bc3cd,19,95,38,0,0.0,True,57,0,0.0,57,22,0,0.0
Qwen/Qwen2.5-7B-Instruct,M1_monolithic,M1_monolithic,dc6b1d11,19,95,38,29,0.7631578947368421,False,57,0,0.0,10,19,0,0.0
Qwen/Qwen2.5-7B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,dc6b1d11,19,95,38,1,0.02631578947368421,False,57,0,0.0,56,19,0,0.0
Qwen/Qwen2.5-7B-Instruct,M3_stage_wise,M3_stage_wise,dc6b1d11,19,95,38,0,0.0,True,57,0,0.0,57,12,16,0.16842105263157894
Qwen/Qwen2.5-7B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,dc6b1d11,19,95,38,1,0.02631578947368421,False,57,0,0.0,56,18,0,0.0
Qwen/Qwen2.5-7B-Instruct,M1_monolithic,M1_monolithic,ec1f47f4,20,100,40,24,0.6,False,60,0,0.0,31,47,0,0.0
Qwen/Qwen2.5-7B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,ec1f47f4,20,100,40,3,0.075,False,60,0,0.0,60,47,0,0.0
Qwen/Qwen2.5-7B-Instruct,M3_stage_wise,M3_stage_wise,ec1f47f4,20,100,40,0,0.0,True,60,0,0.0,60,16,16,0.16
Qwen/Qwen2.5-7B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,ec1f47f4,20,100,40,4,0.1,False,60,0,0.0,60,42,2,0.02
